config,space,metric,signal_type,k,oof_auc,fold_mean,fold_std,fold_1_auc,fold_2_auc,fold_3_auc,fold_4_auc,fold_5_auc,pearson_exp016,spearman_exp016,pearson_residual,spearman_residual
SPACE-A|euclidean|distance_mean|k=10,SPACE-A,euclidean,distance_mean,10,0.37712364076059407,0.37712487967654407,0.0017996202659586837,0.37515126448117103,0.37730773728388134,0.37663463417486887,0.3804359506702688,0.37609481177253024,-0.2230075786519873,-0.4128773457193199,0.0019376537525244695,0.10910216080866762
SPACE-A|euclidean|distance_mean|k=50,SPACE-A,euclidean,distance_mean,50,0.3763239215819085,0.3763242483265389,0.002100608448313785,0.37427042262038246,0.3769911817510265,0.3754484514409263,0.3801082215802871,0.37480296424007187,-0.22593589589599872,-0.4251649013012006,0.0015487184192021937,0.11962225430843117
SPACE-A|euclidean|distance_mean|k=20,SPACE-A,euclidean,distance_mean,20,0.37609436184793144,0.3760942428389451,0.0019432734705561363,0.3740737843544907,0.37652828583170384,0.3754930609270901,0.3796228620894178,0.37475322099202335,-0.22516552426397207,-0.42048538789866263,0.0018026237536533925,0.1142534361342737
SPACE-B|euclidean|distance_min|k=1,SPACE-B,euclidean,distance_min,1,0.37418664118089173,0.3741872734976737,0.0012026043322630638,0.3722863790480817,0.3744205134898641,0.3749365621414637,0.3757823159780899,0.37351059683086907,-0.23002994034102306,-0.37273817382509417,0.0067073445443271195,0.05971461837618951
SPACE-B|manhattan|distance_mean|k=5,SPACE-B,manhattan,distance_mean,5,0.35998855274438823,0.3599906973140514,0.0016963636369447142,0.3573104283861094,0.3604160354836796,0.36098370072228425,0.3622404889249616,0.3590028330532223,-0.24821919597722616,-0.4173202342033023,0.006308715191871742,0.06912143515632922
SPACE-B|manhattan|distance_mean|k=10,SPACE-B,manhattan,distance_mean,10,0.3558044948645219,0.35580585982498975,0.0017092635936559201,0.3529749816586424,0.3564417159710119,0.3568451244141359,0.3578740015082691,0.35489347557288936,-0.2531051646911124,-0.4308998894958625,0.005980816847532661,0.07240799282405237
SPACE-B|manhattan|distance_mean|k=20,SPACE-B,manhattan,distance_mean,20,0.3533339893104387,0.35333533053252686,0.0017196800063205488,0.3504333773573616,0.35410078369656156,0.35428963150237053,0.355370341098882,0.35248251900745875,-0.25604507751937244,-0.44059990070132393,0.005601015470053705,0.07609154076526159
SPACE-B|manhattan|distance_mean|k=200,SPACE-B,manhattan,distance_mean,200,0.3531133233746221,0.3531160751621913,0.0018633034714056762,0.34999916164703704,0.3540032551538653,0.3540924091739773,0.3553425448489435,0.3521430049871332,-0.2575607650523589,-0.4575930335173097,0.0038335659839200888,0.09317077611845452
SPACE-B|euclidean|distance_mean|k=5,SPACE-B,euclidean,distance_mean,5,0.35304134860703185,0.3530441144057819,0.0017023345099085182,0.35019290586039875,0.3538966174435054,0.35381130676777817,0.35512388359557717,0.35219585836164985,-0.25461393720509284,-0.4326984917055447,0.006525408808162467,0.06723311522576071
SPACE-B|manhattan|distance_mean|k=100,SPACE-B,manhattan,distance_mean,100,0.3522875032065033,0.3522899088679961,0.0018477198393246563,0.3491754924517464,0.35325840217389687,0.3532661647248244,0.3544232317400886,0.3513262532494244,-0.2579142877062065,-0.45391858402521573,0.004406669585546555,0.08722015436023617
